slug	rawpath	technique	family	severity	tags	source_sha256	review_status
api	API.md	API	misc	medium		4789de48e8968ecf7464262b9d6084b91853204dbf279a4dd3da57e78667380e	imported-unreviewed
api-graphql	API/GraphQL.md	GraphQL	api	medium		9d68bc89aee80ae1f1968096c15c9186692a6bd27669170a0ea9c42c9af00c38	imported-unreviewed
api-rest	API/REST.md	REST	api	medium		3f6bf3dfc08efeccb8806558ff03cca720f8d39fa220971933a4d3de1dc703db	imported-unreviewed
api-soap	API/SOAP.md	SOAP	api	medium		adb47fde7a7fffae4ffecb97ea0e7e50789df78bc770c66341ea405475ef0b16	imported-unreviewed
api-tools	API/Tools.md	Tools	api	medium		24fce67e300fd906611b19bf3d19ef6ed864ca6621a8d33e09e0896a32f20bb8	imported-unreviewed
api-tools-kiterunner	API/Tools/kiterunner.md	kiterunner	api	medium		928b5d1ec9b7fecfc589bf35866eafaaa2ec62ed57c5267cf27473d424d9ee40	imported-unreviewed
auto-scanners	Auto scanners.md	Auto scanners	misc	medium		7d4aef1d0ed6f026c7d6554c87b8ef077dcfa125935ea809791fb36661569f68	imported-unreviewed
auto-scanners-nikto	Auto scanners/nikto.md	nikto	recon-tools	medium		9b41e7794b3d6e8a8d51e3605fee1b96d999cb514bb6f7a70bcfde3970099ce3	imported-unreviewed
auto-scanners-nuclei	Auto scanners/Nuclei.md	Nuclei	recon-tools	medium		6908c0c1cd7a266b5927d3f83208b5e411cfdf71d16606c8a7ac346de243f990	imported-unreviewed
auto-scanners-nucleifuzzer	Auto scanners/NucleiFuzzer.md	NucleiFuzzer	recon-tools	medium		fc3e57ef48f72551c7ce97dde27d504172f16effc3e42b854583742b79c114b4	imported-unreviewed
broken-link-hijacking	Web attacks/Web Attacks/Broken-Link Hijacking.md	Broken-Link Hijacking	client-side	low	HTML	f8e7b56a72ad79ff061c07a2b00ff72e2a568466c2e2017d55b322178cd88d87	imported-unreviewed
cache-poisoning	Web attacks/Web Attacks/Cache Poisoning.md	Cache Poisoning	http-protocol	medium	Cache Poisoning,403,XSS,DoS,JavaScript,HTTP	034cd9a737b4e0e93a53db8c96c44e5ef8437794525c3c76d7fb0b3de366771d	imported-unreviewed
cloud	Cloud.md	Cloud	misc	medium		2b1777c5331a17557877433b45d1097dfa4b210c96906ef5bffc11db6c623ece	imported-unreviewed
cloud-aws-cognito	Cloud/AWS Cognito.md	AWS Cognito	auth-session	medium		746d15ee8b4b655ed04a9a8c7fae25f6b7c02ec854481f7cbb5245cdacdfd6d6	imported-unreviewed
